name,comment,positive_num,re_comment_num
Ann Bell,Prisoners of Malignant Narcissistic Sadists are cheering all over the Earth. ❤️🎯🧩🫵🏻😎❤️‍🩹💖🌎💫🪐🔥❄️❄️❄️,0,0
doely45,The ordinance kills there own stars damned,0,0
Don alqahtani,"Amber … you better call saul , at least he is better than this clowns",0,0
Southern Gal,Wonder what all the people obsessed with this sh show starring these 2 clowns will do with their lives?,0,0
Dumble Dick,"Lol even if he did raise his hand to her, his previous relationships determine amber is crazy 😂",0,0
Ava and dahlia,The bad thing is they are both actors so they know how to act and make things look real so how Amber can FAKE cry making it look really and meaningful and fake writes at some points and  She also is very hesitation to responding and thinks of how to refraze her words and used a bruise kit 😐 . And no matter the outcome we all know deep in side the hidden Truman’s there is no way to hide it .,0,0
Victoria Koerber,"Truly bizarre! A room mostly full of atheists who hate God, Christians, and the Holy Scriptures are somehow concerned about defamation? (9th commandment) Hypocrisy! If you evolved from pond scum, who cares? It’s just survival of the fittest! But they do care, because we are all made in the image of God, who is the Messiah(Christ) have mercy on us all! My heart breaks for them",0,0
Debbie Sanderson,Elaine blag blah she just talks out her butt too she doesn't know what she talking about either the sad thing her is her lawyers know she lying how do you fight for a liar.,0,0
saudia reid,I don’t care for the out come of this the whole world as spoken that’s all that matters we believe and stand with johnny,0,0
Maria,"Regardless of the outcome, Im so glad Johnny got to tell the world, as well as Amber implicating her own self, what a lying abusive POS this low life really is!!!",0,0
mervenur tosun,WHO WON,0,0
Thraxxor90,Jesse Weber - “A trial that has captured the nation” …. Don’t you mean “The World” ??,0,0
liza neva,This  is Nonsens..   lie Detektor  test is needed,0,0
Royal Broman,"People need to start understanding there is an invisible war between energy happening that dwells in the male and female that's been discussed in every religion in every region in one way or another better seen as the Ying and Yang. To tell it today these energys could be better recognized as the logic and the feeling. Males are the self or the individual, wile female's are connected through feeling having a universal face underneath the personality. Witch is why women threw out time have been seen as coming from male, or the clone, or the 2. Do to the universal face of feeling connecting them, that can be seen on the biological scale threw the gender itself. This also explains the difference between male and female threw ""progression"". Though men are not blameless and have created tyrants such as Hitler or Stalin. The male energy or ""individual"" is willing to rebell against itself to correct itself. Causing rebellion from within and around there organizations. Showing progression to free slaves, give women rights, and take our species multi plant and take us to Mars. Female dose not have this characteristic and are more selfish in nature then properly explained in this day in age explaining why they have only been able to progress itself even after 100 years of being out of their ""Oppression"". While using male energy to protect itself without giving anything in return. Again is why inside all women whether good or bad, the individual is always made to take the feeling. Yet feeling desires both. Showing the paradox of female the contradiction in feeling. This is also why threw out time in every religion female was never made to be in judgment. Even though now a days Judges are more female then male corrupting law male created. You can see that when the first female entered the justice system as a judge in the 1920's. Law slowly changed from logical arguments to magical words. Pushing the agenda of female confusion to all who comes under their judgment. Wile they preach its OK to change genders or how it's their body's to kill their kids no matter how far along they are. Instead of male self acceptance or life energy. Feeling was never made to rule itself, and women would be happier for it. The contradiction in confusion is not made to rule this world the individual of progression is. This is why we have single handedly destroyed humanity. Slowly without anyone knowing. This can also be seen through percentages witch should answer most questions. Our only hope I see for male's to pass this test is to cut off marriage as a whole, and do better logical vetting testing practices for Judges, wile doing the best to keep our male children with the male energy and females to their female energy.",0,0
